"ServerName","(C:)","(D:)","(E:)"
"DC-WMO-TITUSJ","77.94 GB","(not found)","(not found)"
"DC-WMO-TRAIN12","97.42 GB","(not found)","(not found)"
"DC-WMO-TUBHSP1","145.12 GB","(not found)","(not found)"
"DC-WMO-TV01","181.46 GB","(not found)","(not found)"
"DC-WMO-TV02","178.95 GB","(not found)","(not found)"
"DC-WMO-TV03","179.54 GB","(not found)","(not found)"
"DC-WMO-TV04","191.8 GB","(not found)","(not found)"
"DC-WMO-TV05","189.91 GB","(not found)","(not found)"
"DC-WMO-TVAP","180.71 GB","(not found)","(not found)"
"DC-WMO-TVASRS","193.51 GB","(not found)","(not found)"
"DC-WMO-TVBRKRM1","187.05 GB","(not found)","(not found)"
"DC-WMO-TVBRKRM2","195.91 GB","(not found)","(not found)"
"DC-WMO-TVFLRLN","179.52 GB","(not found)","(not found)"
"DC-WMO-TVFRONT","184.62 GB","(not found)","(not found)"
"DC-WMO-TVJ","186.63 GB","(not found)","(not found)"
"DC-WMO-TVK","188.82 GB","(not found)","(not found)"
"DC-WMO-TVL","185.92 GB","(not found)","(not found)"
"DC-WMO-TVM","181.37 GB","(not found)","(not found)"
"DC-WMO-TVP","185.86 GB","(not found)","(not found)"
"DC-WMO-TVR","175.05 GB","(not found)","(not found)"
"DC-WMO-TVRECDOC","186.47 GB","(not found)","(not found)"
"DC-WMO-TVRECOFF","174.4 GB","(not found)","(not found)"
"DC-WMO-TVSHIPDK","176.66 GB","(not found)","(not found)"
"DC-WMO-TVWAITRM","189.36 GB","(not found)","(not found)"
"DC-WMO-WEBC01","175.59 GB","(not found)","(not found)"
"DC-WMO-WEBC02","167.33 GB","(not found)","(not found)"
"DC-WMO-WEBC03","176.67 GB","(not found)","(not found)"
"DC-WMO-WEBC04","410.56 GB","(not found)","(not found)"
"DC-WMO-WEBC05","174.48 GB","(not found)","(not found)"
